token_id,time_est,is_auction,price,currency,price_eth,price_usd,name,background,body,eyes,hand,head,mouth,skin,eyewear,face,neck,special features,legendary
2370,2022-06-10 02:16:44,False,0.175,eth,0.175,294.22,Fear City #2370,Subway,Varsity Jacket,Normal Eyes,Colt 45,Black Biker Helmet with White Stripe,Joker with Ciggy,ShadowKai,,,,,
2875,2022-06-07 10:36:14,False,0.177,eth,0.177,297.58,Fear City #2875,Subway,All Art Hoodie,Normal Eyes,Hummingbird,Luigi Hat,Ciggy Holder,ShadowKai,,,,,
1380,2022-06-10 04:24:12,False,0.18,eth,0.18,302.74,Fear City #1380,God Bless America,Leather Cut Off,Tentacles,Spray Paint,Red Supermeme Hat,Joker with Ciggy,ShadowKai,Matrix Glasses,,,,
814,2022-06-07 16:56:05,False,0.18,eth,0.18,302.74,Fear City #814,Subway,Butterfly Knives T,Labyrinth Green Shadow,Spray Paint,Bowler Hat and Rachel Hair,Smeared Lipstick,Barb,,,Choker,,
1627,2022-06-10 14:51:41,False,0.187,eth,0.187,314.51,Fear City #1627,Subway,Free Panther T,Strange Red Alien,Zippo,80s Flat Top,Natural Lips,Baker,Red Clubmasters,,,,
1878,2022-06-07 21:18:54,False,0.187,eth,0.187,314.39,Fear City #1878,Green Flag,Half Fur and Leather,Natural,Light Bulb,Brown Bob,Natural Lips,Sophia,,,,,
1112,2022-06-08 19:23:56,False,0.187,eth,0.187,314.51,Fear City #1112,God Bless America,Varsity Jacket,,Statue of Liberty,Green Mohawk,Buck Teeth,Thumper,,Rabbit Head,,,
2540,2022-06-08 00:16:23,False,0.188,eth,0.188,316.07,Fear City #2540,God Bless America,Denim Cut Off,,Hot Dog,Farrah,Joker with Ciggy,Thumper,,Rabbit Head,,,
1684,2022-06-09 19:17:54,False,0.18899999999999997,eth,0.189,317.88,Fear City #1684,Green Flag,Red Football Jersey,,Nail Bat,Pink Mohawk,Buck Teeth,Thumper,,Rabbit Head,Eth Pendant,,
1718,2022-06-10 15:32:34,False,0.18899999999999997,eth,0.189,317.88,Fear City #1718,Green Flag,Champion T,Smokey Punk,Smiley Grenade,Green Mohawk,Cigar with Smeared Lipstick,Barb,,Gold Nose Ring,,,
