token_id,rank,score
1188,4500,95.98
1189,7264,83.05
1190,8351,77.91
1191,1914,114.14
1192,1227,124.26
1193,8304,78.09
1194,268,164.79
1195,8516,76.94
1196,4789,94.53
1197,1767,115.73
1198,1504,119.46
1199,3084,104.27
1200,3714,100.34
1201,7893,80.13
1202,285,162.48
1203,7113,83.59
1204,5957,89.02
1205,8993,73.91
1206,4445,96.27
1207,794,134.64
1208,5394,91.60
1209,712,137.47
1210,474,147.78
1211,759,135.83
1212,2493,108.73
1213,8490,77.09
1214,6070,88.52
1215,5118,92.91
1216,4862,94.19
1217,7136,83.53
1218,7887,80.15
1219,3223,103.39
1220,3710,100.37
1221,6321,87.40
1222,7798,80.55
1223,8725,75.60
1224,6131,88.26
1225,6667,85.67
1226,1752,115.99
1227,7770,80.68
1228,8994,73.91
1229,7934,79.89
1230,1355,121.72
1231,5514,90.99
1232,1979,113.58
1233,3208,103.52
1234,6204,87.95
1235,8934,74.24
1236,9826,66.13
1237,6610,86.01
1238,5695,90.20
1239,9454,70.37
1240,5748,89.97
1241,9745,67.32
1242,4628,95.32
1243,9905,64.25
1244,5964,89.01
1245,4578,95.56
1246,2257,110.81
1247,7498,82.01
1248,6283,87.58
1249,6423,86.94
1250,6418,86.96
1251,3805,99.82
1252,2096,112.19
1253,8467,77.23
1254,876,132.43
1255,239,168.80
1256,932,130.88
1257,5524,90.97
1258,8668,75.98
1259,8001,79.57
1260,1428,120.66
1261,3712,100.37
1262,5612,90.61
1263,4175,97.66
1264,7717,80.98
1265,8594,76.41
1266,8161,78.81
1267,8366,77.85
1268,3266,103.07
1269,151,186.09
1270,4540,95.72
1271,9388,70.91
1272,5659,90.40
1273,2118,112.05
1274,5698,90.18
1275,5019,93.43
1276,473,147.79
1277,1151,125.81
1278,9746,67.31
1279,2477,108.87
1280,994,129.34
1281,7560,81.76
1282,5908,89.23
1283,7359,82.64
1284,6230,87.82
1285,2260,110.81
1286,3342,102.53
1287,6378,87.15
1288,8359,77.87
1289,1426,120.70
1290,9737,67.51
1291,2555,108.21
1292,5044,93.27
1293,3060,104.45
1294,169,181.28
1295,7897,80.11
1296,931,130.95
1297,4430,96.36
1298,6828,84.85
1299,1084,127.23
1300,4193,97.55
1301,8953,74.15
1302,7173,83.38
1303,7864,80.29
1304,6107,88.35
1305,5288,92.15
1306,7659,81.23
1307,3309,102.77
1308,3847,99.59
1309,4799,94.49
1310,8956,74.14
1311,149,186.34
1312,8038,79.39
1313,339,156.84
1314,4673,95.11
1315,5557,90.85
1316,4848,94.28
1317,2971,105.11
1318,2570,108.09
1319,3693,100.49
1320,3699,100.44
1321,8924,74.31
1322,9898,64.49
1323,6126,88.28
1324,8877,74.67
1325,4332,96.79
1326,1657,117.02
1327,8955,74.14
1328,6781,85.03
1329,9433,70.55
1330,3853,99.53
1331,5793,89.79
1332,1838,114.95
1333,4747,94.73
1334,9334,71.40
1335,5013,93.47
1336,1860,114.77
1337,2262,110.80
1338,1629,117.38
1339,119,216.42
1340,1511,119.32
1341,5473,91.19
1342,7118,83.57
1343,8566,76.62
1344,5812,89.69
1345,4609,95.41
1346,7828,80.44
1347,9568,69.41
1348,228,170.53
1349,4864,94.18
1350,3701,100.43
1351,5391,91.61
1352,7650,81.27
1353,1823,115.19
1354,7488,82.04
1355,6374,87.17
1356,1184,125.09
1357,3428,101.93
1358,1805,115.31
1359,22,346.97
1360,4841,94.33
1361,4406,96.48
1362,2089,112.27
1363,5854,89.51
1364,1338,121.96
1365,9337,71.38
1366,9519,69.90
1367,6680,85.60
1368,6116,88.31
1369,9556,69.60
1370,9487,70.16
1371,5746,89.98
1372,7669,81.19
1373,7241,83.11
1374,5705,90.13
1375,5503,91.07
1376,1105,126.66
1377,8104,79.09
1378,2946,105.35
1379,2220,111.11
1380,8466,77.24
1381,9317,71.54
1382,7829,80.44
1383,7818,80.48
1384,3489,101.57
1385,1073,127.57
1386,6515,86.49
1387,7449,82.20
1388,2985,104.98
1389,9550,69.69
1390,1687,116.73
1391,2056,112.67
1392,787,135.04
1393,1625,117.45
1394,8530,76.87
1395,7662,81.22
1396,2044,112.77
1397,7661,81.22
1398,8090,79.15
1399,2156,111.63
1400,7896,80.12
1401,219,171.15
1402,4517,95.89
1403,2467,108.92
1404,708,137.56
1405,2844,106.07
1406,6178,88.07
1407,5684,90.24
1408,3736,100.25
1409,6957,84.33
1410,5164,92.67
1411,1822,115.19
1412,8931,74.26
1413,5245,92.34
1414,2140,111.77
1415,8748,75.46
1416,7928,79.97
1417,7593,81.56
1418,1194,124.88
1419,8681,75.91
1420,653,139.43
1421,4649,95.22
1422,5381,91.65
1423,9085,73.21
1424,7363,82.61
1425,807,134.23
1426,8246,78.40
1427,8611,76.33
1428,5050,93.23
1429,3115,104.05
1430,9441,70.50
1431,3326,102.66
1432,3861,99.49
1433,3991,98.69
1434,3700,100.43
1435,1001,129.18
1436,5100,92.99
1437,5006,93.51
1438,6415,86.98
1439,8331,78.02
1440,4688,95.05
1441,2452,109.01
